[-1441,-2228,8],1
[-1727,-769,7],1
-440,2448,8,1
-1944,1874,11,2
-763,-1235,7,1
601,404,10,1
2700,1243,11,2
2667,-1007,7,1
2756,-469,9,1
-1204,-1867,9,2
-1384,-1579,8,1
-2790,-445,9,2
1524,342,8,1
-1880,2146,7,1
1350,-1711,11,1
-2642,-1366,8,1
2254,1724,9,1
1425,-947,7,1
-1319,-2438,12,2
-12,-1668,10,1
1874,1662,8,1
-1025,2382,11,2
2730,-901,11,1
-2534,20,9,2
-1700,-19,9,1
528,-1808,8,1
716,1141,12,2
-832,2334,11,2
-1758,-1778,7,1
-1537,1158,9,1
2337,622,7,2
1423,1045,7,2
-2657,-415,9,1
1158,1421,12,2
1795,1492,7,1
-474,-2628,10,2
539,-360,12,1
-1700,-19,7,1
2293,-1587,9,2
1834,-281,10,1
-1272,1646,10,1
2200,1028,11,2
1935,-1522,9,2
1292,-2356,9,2
561,-1705,8,1
-1371,-1748,7,1
-1830,-831,12,1
-2063,1620,11,2
-2178,606,12,2
1408,960,7,1
162,2436,7,1
1274,2328,9,1
-843,1100,8,1
-1000,1351,11,1
-1046,-1966,9,1
-1982,839,10,2
-424,-933,8,1
128,1119,8,1
1723,-1443,7,1
749,-2698,12,2
1541,-1958,10,1
-2344,-1478,9,2
-1085,862,12,2
166,-673,11,1
-1250,1187,10,1
-768,-1653,12,2
358,2363,7,1
-1080,-775,7,1
2606,-646,8,1
1963,1974,11,2
2339,-1458,7,1
-511,-650,12,2
2791,-684,9,1
-2237,-1160,10,1
21,-1626,10,1
2959,-4,8,1
-1867,-1765,8,1
372,2487,7,1
-1423,-416,7,1
-2504,261,10,2
-1700,-19,9,1
1623,2431,11,2
57,-223,8,1
-813,2749,10,2
-12,-1668,7,1
-615,-2733,12,2
2414,-579,11,2
809,619,11,2
-464,1578,12,1
-2564,247,7,1
14,579,10,1
1047,800,8,1
533,-2427,11,2
1002,-943,7,1
-1531,-279,7,1
1028,-2394,12,2
-2009,-970,7,1
1827,-722,11,1
-1263,2256,7,2
1578,1877,9,2
745,-1028,7,1
19,2511,7,1
375,1636,8,1
816,2571,8,2
2238,1891,9,2
978,-2763,9,2
630,1508,7,1
-789,2242,7,2
2427,280,7,1
